573145	300616
89440	297322
452783	292947
430240	294746
419099	297592
418353	300530
487789	292734
391527	291230
430442	289285
444206	303302
287638	296334
423248	289907
285773	310950
280750	329233
293403	298471
281851	314335
291554	290818
302978	329008
299486	301698
288233	302466
302310	300916
151928	302968
294073	297780
301855	288658
298802	280497
295310	544590
302381	296841
302022	296886
348554	325712
290174	298747
292957	291899
288982	295980
288358	293712
297433	301791
302101	287701
300782	299658
287449	290227
303108	288316
295272	288043
289099	290740
290391	297206
293257	301078
301969	288122
302662	298256
330793	326989
338537	289190
330654	298949
326660	339878
316551	347730
313354	345393
309833	287472
307562	290411
301759	289744
300547	300591
296974	291766
294959	337761
292359	292549
292076	289812
291921	292771
291897	293337
291233	289423
291178	291135
290876	299602
290720	332063
290652	290556
290609	301199
288425	289164
292653	297656
301371	295913
300290	312414
290927	297302
301654	303116
296668	299000
301539	354372
300891	299794
316711	299453
294174	294257
287434	298192
297825	292790
295963	294556
298347	287762
294985	298715
296080	295732
290311	299223
291174	298456
296715	291768
352750	302271
287659	303290
288314	293898
300205	292872
297364	298998
302392	296594
295268	299476
303396	303119
290844	288166
291912	300980
301701	292582
330390	291279
502336	289770
300291	300571
